i,a,b,b - a,k,x1,x2,y1,y2
1,6,9.9,3.9,0.0,7.4897,8.4103,-0.7892,-0.8394
2,7.4897,9.9,2.4103,1.618,8.4103,8.9793,-0.8394,-0.839
3,7.4897,8.9793,1.4897,1.618,8.0587,8.4103,-0.8228,-0.8394
4,8.0587,8.9793,0.9207,1.618,8.4103,8.6277,-0.8394,-0.8453
5,8.4103,8.9793,0.569,1.618,8.6277,8.762,-0.8453,-0.8459
6,8.6277,8.9793,0.3517,1.618,8.762,8.845,-0.8459,-0.8447
7,8.6277,8.845,0.2173,1.618,8.7107,8.762,-0.846,-0.8459
8,8.6277,8.762,0.1343,1.618,8.679,8.7107,-0.8458,-0.846
9,8.679,8.762,0.083,1.6181,8.7107,8.7303,-0.846,-0.846
10,8.7107,8.762,0.0513,1.618,8.7303,8.7424,-0.846,-0.846
11,8.7107,8.7424,0.0317,1.6182,8.7228,8.7303,-0.846,-0.846
12,8.7228,8.7424,0.0196,1.6176,8.7303,8.7349,-0.846,-0.846
13,8.7228,8.7349,0.0121,1.619,8.7274,8.7303,-0.846,-0.846
14,8.7228,8.7303,0.0075,1.6154,8.7257,8.7274,-0.846,-0.846
15,8.7257,8.7303,0.0046,1.625,8.7274,8.7286,-0.846,-0.846
16,8.7257,8.7286,0.0029,1.6,8.7268,8.7274,-0.846,-0.846
17,8.7257,8.7274,0.0017,1.6667,8.7263,8.7268,-0.846,-0.846
