i,x1,x2,x3,x3 - x1,k,y1,y2,y3
1,6,7.95,9.9,3.9,0.0,-0.706,-0.8168,0.224
2,7.1625,7.95,9.9,2.7375,1.4247,-0.7692,-0.8168,0.224
3,7.6953,7.95,9.9,2.2047,1.2416,-0.8017,-0.8168,0.224
4,7.9325,7.95,9.9,1.9675,1.1206,-0.8157,-0.8168,0.224
5,7.95,8.0366,9.9,1.95,1.009,-0.8168,-0.8216,0.224
6,8.0366,8.082,9.9,1.8634,1.0465,-0.8216,-0.8241,0.224
7,8.082,8.1396,9.9,1.818,1.0249,-0.8241,-0.8271,0.224
8,8.1396,8.1846,9.9,1.7604,1.0327,-0.8271,-0.8294,0.224
9,8.1846,8.2294,9.9,1.7154,1.0262,-0.8294,-0.8316,0.224
10,8.2294,8.2687,9.9,1.6706,1.0269,-0.8316,-0.8335,0.224
11,8.2687,8.3056,9.9,1.6313,1.0241,-0.8335,-0.8351,0.224
12,8.3056,8.3389,9.9,1.5944,1.0231,-0.8351,-0.8365,0.224
13,8.3389,8.3697,9.9,1.5611,1.0214,-0.8365,-0.8378,0.224
14,8.3697,8.3979,9.9,1.5303,1.0201,-0.8378,-0.8389,0.224
15,8.3979,8.4238,9.9,1.5021,1.0187,-0.8389,-0.8399,0.224
16,8.4238,8.4475,9.9,1.4762,1.0175,-0.8399,-0.8407,0.224
17,8.4475,8.4694,9.9,1.4525,1.0164,-0.8407,-0.8414,0.224
18,8.4694,8.4894,9.9,1.4306,1.0153,-0.8414,-0.8421,0.224
19,8.4894,8.5079,9.9,1.4106,1.0142,-0.8421,-0.8426,0.224
20,8.5079,8.5249,9.9,1.3921,1.0133,-0.8426,-0.8431,0.224
21,8.5249,8.5405,9.9,1.3751,1.0123,-0.8431,-0.8435,0.224
22,8.5405,8.5549,9.9,1.3595,1.0115,-0.8435,-0.8438,0.224
23,8.5549,8.5681,9.9,1.3451,1.0107,-0.8438,-0.8441,0.224
24,8.5681,8.5803,9.9,1.3319,1.0099,-0.8441,-0.8444,0.224
25,8.5803,8.5915,9.9,1.3197,1.0092,-0.8444,-0.8446,0.224
26,8.5915,8.6019,9.9,1.3085,1.0086,-0.8446,-0.8448,0.224
27,8.6019,8.6115,9.9,1.2981,1.008,-0.8448,-0.845,0.224
28,8.6115,8.6203,9.9,1.2885,1.0074,-0.845,-0.8451,0.224
29,8.6203,8.6284,9.9,1.2797,1.0069,-0.8451,-0.8453,0.224
30,8.6284,8.6359,9.9,1.2716,1.0064,-0.8453,-0.8454,0.224
31,8.6359,8.6428,9.9,1.2641,1.0059,-0.8454,-0.8455,0.224
32,8.6428,8.6492,9.9,1.2572,1.0055,-0.8455,-0.8456,0.224
33,8.6492,8.6551,9.9,1.2508,1.0051,-0.8456,-0.8456,0.224
34,8.6551,8.6605,9.9,1.2449,1.0047,-0.8456,-0.8457,0.224
35,8.6605,8.6655,9.9,1.2395,1.0044,-0.8457,-0.8457,0.224
36,8.6655,8.6702,9.9,1.2345,1.0041,-0.8457,-0.8458,0.224
37,8.6702,8.6745,9.9,1.2298,1.0038,-0.8458,-0.8458,0.224
38,8.6745,8.6784,9.9,1.2255,1.0035,-0.8458,-0.8458,0.224
39,8.6784,8.6821,9.9,1.2216,1.0032,-0.8458,-0.8459,0.224
40,8.6821,8.6855,9.9,1.2179,1.003,-0.8459,-0.8459,0.224
41,8.6855,8.6886,9.9,1.2145,1.0028,-0.8459,-0.8459,0.224
42,8.6886,8.6915,9.9,1.2114,1.0026,-0.8459,-0.8459,0.224
43,8.6915,8.6941,9.9,1.2085,1.0024,-0.8459,-0.8459,0.224
44,8.6941,8.6966,9.9,1.2059,1.0022,-0.8459,-0.846,0.224
45,8.6966,8.6989,9.9,1.2034,1.002,-0.846,-0.846,0.224
46,8.6989,8.701,9.9,1.2011,1.0019,-0.846,-0.846,0.224
47,8.701,8.7029,9.9,1.199,1.0018,-0.846,-0.846,0.224
48,8.7029,8.7047,9.9,1.1971,1.0016,-0.846,-0.846,0.224
49,8.7047,8.7064,9.9,1.1953,1.0015,-0.846,-0.846,0.224
50,8.7064,8.7079,9.9,1.1936,1.0014,-0.846,-0.846,0.224
51,8.7079,8.7094,9.9,1.1921,1.0013,-0.846,-0.846,0.224
52,8.7094,8.7107,9.9,1.1906,1.0012,-0.846,-0.846,0.224
53,8.7107,8.7119,9.9,1.1893,1.0011,-0.846,-0.846,0.224
54,8.7119,8.713,9.9,1.1881,1.001,-0.846,-0.846,0.224
55,8.713,8.7141,9.9,1.187,1.0009,-0.846,-0.846,0.224
56,8.7141,8.715,9.9,1.1859,1.0009,-0.846,-0.846,0.224
57,8.715,8.7159,9.9,1.185,1.0008,-0.846,-0.846,0.224
58,8.7159,8.7167,9.9,1.1841,1.0008,-0.846,-0.846,0.224
59,8.7167,8.7175,9.9,1.1833,1.0007,-0.846,-0.846,0.224
60,8.7175,8.7182,9.9,1.1825,1.0006,-0.846,-0.846,0.224
61,8.7182,8.7189,9.9,1.1818,1.0006,-0.846,-0.846,0.224
62,8.7189,8.7195,9.9,1.1811,1.0006,-0.846,-0.846,0.224
63,8.7195,8.72,9.9,1.1805,1.0005,-0.846,-0.846,0.224
64,8.72,8.7205,9.9,1.18,1.0005,-0.846,-0.846,0.224
65,8.7205,8.721,9.9,1.1795,1.0004,-0.846,-0.846,0.224
66,8.721,8.7215,9.9,1.179,1.0004,-0.846,-0.846,0.224
67,8.7215,8.7219,9.9,1.1785,1.0004,-0.846,-0.846,0.224
68,8.7219,8.7222,9.9,1.1781,1.0003,-0.846,-0.846,0.224
69,8.7222,8.7226,9.9,1.1778,1.0003,-0.846,-0.846,0.224
70,8.7226,8.7229,9.9,1.1774,1.0003,-0.846,-0.846,0.224
71,8.7229,8.7232,9.9,1.1771,1.0003,-0.846,-0.846,0.224
72,8.7232,8.7235,9.9,1.1768,1.0003,-0.846,-0.846,0.224
73,8.7235,8.7237,9.9,1.1765,1.0002,-0.846,-0.846,0.224
74,8.7237,8.724,9.9,1.1763,1.0002,-0.846,-0.846,0.224
75,8.724,8.7242,9.9,1.176,1.0002,-0.846,-0.846,0.224
76,8.7242,8.7244,9.9,1.1758,1.0002,-0.846,-0.846,0.224
77,8.7244,8.7246,9.9,1.1756,1.0002,-0.846,-0.846,0.224
78,8.7246,8.7248,9.9,1.1754,1.0002,-0.846,-0.846,0.224
79,8.7248,8.7249,9.9,1.1752,1.0001,-0.846,-0.846,0.224
80,8.7249,8.7251,9.9,1.1751,1.0001,-0.846,-0.846,0.224
81,8.7251,8.7252,9.9,1.1749,1.0001,-0.846,-0.846,0.224
82,8.7252,8.7253,9.9,1.1748,1.0001,-0.846,-0.846,0.224
83,8.7253,8.7255,9.9,1.1747,1.0001,-0.846,-0.846,0.224
84,8.7255,8.7256,9.9,1.1745,1.0001,-0.846,-0.846,0.224
85,8.7256,8.7257,9.9,1.1744,1.0001,-0.846,-0.846,0.224
86,8.7257,8.7258,9.9,1.1743,1.0001,-0.846,-0.846,0.224
87,8.7258,8.7258,9.9,1.1742,1.0001,-0.846,-0.846,0.224
88,8.7258,8.7259,9.9,1.1742,1.0001,-0.846,-0.846,0.224
89,8.7259,8.726,9.9,1.1741,1.0001,-0.846,-0.846,0.224
90,8.726,8.7261,9.9,1.174,1.0001,-0.846,-0.846,0.224
91,8.7261,8.7261,9.9,1.1739,1.0001,-0.846,-0.846,0.224
92,8.7261,8.7262,9.9,1.1739,1.0001,-0.846,-0.846,0.224
93,8.7262,8.7262,9.9,1.1738,1.0,-0.846,-0.846,0.224
94,8.7262,8.7263,9.9,1.1738,1.0,-0.846,-0.846,0.224
95,8.7263,8.7263,9.9,1.1737,1.0,-0.846,-0.846,0.224
96,8.7263,8.7264,9.9,1.1737,1.0,-0.846,-0.846,0.224
97,8.7264,8.7264,9.9,1.1736,1.0,-0.846,-0.846,0.224
98,8.7264,8.7265,9.9,1.1736,1.0,-0.846,-0.846,0.224
99,8.7265,8.7265,9.9,1.1735,1.0,-0.846,-0.846,0.224
100,8.7265,8.7265,9.9,1.1735,1.0,-0.846,-0.846,0.224
101,8.7265,8.7265,9.9,1.1735,1.0,-0.846,-0.846,0.224
102,8.7265,8.7266,9.9,1.1735,1.0,-0.846,-0.846,0.224
103,8.7266,8.7266,9.9,1.1734,1.0,-0.846,-0.846,0.224
104,8.7266,8.7266,9.9,1.1734,1.0,-0.846,-0.846,0.224
105,8.7266,8.7266,9.9,1.1734,1.0,-0.846,-0.846,0.224
106,8.7266,8.7267,9.9,1.1734,1.0,-0.846,-0.846,0.224
107,8.7267,8.7267,9.9,1.1733,1.0,-0.846,-0.846,0.224
108,8.7267,8.7267,9.9,1.1733,1.0,-0.846,-0.846,0.224
109,8.7267,8.7267,9.9,1.1733,1.0,-0.846,-0.846,0.224
110,8.7267,8.7267,9.9,1.1733,1.0,-0.846,-0.846,0.224
111,8.7267,8.7267,9.9,1.1733,1.0,-0.846,-0.846,0.224
112,8.7267,8.7268,9.9,1.1733,1.0,-0.846,-0.846,0.224
113,8.7268,8.7268,9.9,1.1732,1.0,-0.846,-0.846,0.224
114,8.7268,8.7268,9.9,1.1732,1.0,-0.846,-0.846,0.224
115,8.7268,8.7268,9.9,1.1732,1.0,-0.846,-0.846,0.224
116,8.7268,8.7268,9.9,1.1732,1.0,-0.846,-0.846,0.224
117,8.7268,8.7268,9.9,1.1732,1.0,-0.846,-0.846,0.224
118,8.7268,8.7268,9.9,1.1732,1.0,-0.846,-0.846,0.224
119,8.7268,8.7268,9.9,1.1732,1.0,-0.846,-0.846,0.224
120,8.7268,8.7268,9.9,1.1732,1.0,-0.846,-0.846,0.224
121,8.7268,8.7268,9.9,1.1732,1.0,-0.846,-0.846,0.224
122,8.7268,8.7268,9.9,1.1732,1.0,-0.846,-0.846,0.224
123,8.7268,8.7268,9.9,1.1732,1.0,-0.846,-0.846,0.224
124,8.7268,8.7268,9.9,1.1732,1.0,-0.846,-0.846,0.224
125,8.7268,8.7269,9.9,1.1732,1.0,-0.846,-0.846,0.224
126,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
127,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
128,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
129,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
130,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
131,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
132,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
133,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
134,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
135,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
