i,x1,x2,x3,x3 - x1,k,y1,y2,y3
136,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
137,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
138,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
139,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
140,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
141,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
142,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
143,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
144,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
145,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
146,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
147,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
148,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
149,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
150,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
151,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
152,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
153,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
154,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
155,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
156,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
157,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
158,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
159,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
160,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
161,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
162,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
163,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
164,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
165,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
166,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
167,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
168,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
169,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
170,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
171,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
172,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
173,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
174,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
175,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
176,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
177,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
178,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
179,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
180,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
181,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
182,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
183,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
184,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
185,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
186,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
187,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
188,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
189,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
190,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
191,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
192,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
193,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
194,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
195,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
196,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
197,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
198,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
199,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
200,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
201,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
202,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
203,8.7269,8.7269,9.9,1.1731,1.0,-0.846,-0.846,0.224
