i,a,b,b - a,k,x1,x2,y1,y2
1,0.5,2.5,2.0,0.0,1.4951,1.5049,0.7001,0.6856
2,1.4951,2.5,1.0049,1.9902,1.9927,2.0025,0.2138,0.2093
3,1.9927,2.5,0.5073,1.9807,2.2414,2.2512,0.1606,0.1611
4,1.9927,2.2512,0.2586,1.9621,2.117,2.1268,0.1714,0.1694
5,2.117,2.2512,0.1342,1.927,2.1792,2.189,0.162,0.1613
6,2.1792,2.2512,0.072,1.8639,2.2103,2.2201,0.1603,0.1602
7,2.2103,2.2512,0.0409,1.7604,2.2259,2.2357,0.1602,0.1604
8,2.2103,2.2357,0.0253,1.6134,2.2181,2.2279,0.1602,0.1602
9,2.2103,2.2279,0.0176,1.4424,2.2142,2.224,0.1602,0.1602
10,2.2142,2.2279,0.0137,1.284,2.2162,2.226,0.1602,0.1602
11,2.2162,2.2279,0.0117,1.1655,2.2171,2.2269,0.1602,0.1602
12,2.2162,2.2269,0.0108,1.0902,2.2166,2.2264,0.1602,0.1602
13,2.2166,2.2269,0.0103,1.0472,2.2169,2.2267,0.1602,0.1602
14,2.2169,2.2269,0.01,1.0242,2.217,2.2268,0.1602,0.1602
