i,a,b,b - a,k,x1,x2,y1,y2
1,-0.5,0.5,1.0,0.0,-0.118,0.118,1.4099,0.8981
2,-0.118,0.5,0.618,1.618,0.118,0.2639,0.8981,1.0308
3,-0.118,0.2639,0.382,1.618,0.0279,0.118,0.9526,0.8981
4,0.0279,0.2639,0.2361,1.618,0.118,0.1738,0.8981,0.9245
5,0.0279,0.1738,0.1459,1.618,0.0836,0.118,0.9028,0.8981
6,0.0836,0.1738,0.0902,1.618,0.118,0.1393,0.8981,0.9037
7,0.0836,0.1393,0.0557,1.618,0.1049,0.118,0.8978,0.8981
8,0.0836,0.118,0.0344,1.618,0.0967,0.1049,0.8989,0.8978
9,0.0967,0.118,0.0213,1.618,0.1049,0.1099,0.8978,0.8976
10,0.1049,0.118,0.0132,1.618,0.1099,0.113,0.8976,0.8977
