i,a,b,b - a,k,x1,x2,y1,y2
1,0,6.28,6.28,0.0,3.1351,3.1449,-6.681,-6.6529
2,0,3.1449,3.1449,1.9969,1.5676,1.5774,-4.2968,-4.338
3,1.5676,3.1449,1.5774,1.9938,2.3513,2.3611,-6.9143,-6.9332
4,2.3513,3.1449,0.7936,1.9877,2.7432,2.753,-7.2702,-7.2677
5,2.3513,2.753,0.4017,1.9756,2.5473,2.5571,-7.1991,-7.208
6,2.5473,2.753,0.2057,1.9524,2.6452,2.655,-7.263,-7.2663
7,2.6452,2.753,0.1078,1.9091,2.6942,2.704,-7.2739,-7.2743
8,2.6942,2.753,0.0588,1.8333,2.7187,2.7285,-7.2739,-7.2729
9,2.6942,2.7285,0.0343,1.7142,2.7065,2.7163,-7.2744,-7.2741
10,2.6942,2.7163,0.022,1.5555,2.7003,2.7101,-7.2742,-7.2743
11,2.7003,2.7163,0.0159,1.3845,2.7034,2.7132,-7.2743,-7.2742
12,2.7003,2.7132,0.0129,1.238,2.7019,2.7117,-7.2743,-7.2743
13,2.7003,2.7117,0.0113,1.1351,2.7011,2.7109,-7.2743,-7.2743
14,2.7011,2.7117,0.0106,1.0724,2.7015,2.7113,-7.2743,-7.2743
15,2.7015,2.7117,0.0102,1.0376,2.7017,2.7115,-7.2743,-7.2743
